uncertainty,seek/sharing,Market_change,Instr,Task1Seek,ID_n
3,5,425,1,1,15
28,4,431,1,1,15
29,4,432,1,1,15
56,3,451,1,1,15
68,2,468,1,1,15
27,1,-488,1,1,15
98,3,474,1,1,15
64,2,-443,1,1,15
76,1,-411,1,1,15
53,3,-432,1,1,15
39,2,-469,1,1,15
71,3,444,1,1,15
80,2,404,1,1,15
36,2,-405,1,1,15
91,1,459,1,1,15
72,1,-447,1,1,15
35,3,-466,1,1,15
41,1,-428,1,1,15
93,3,468,1,1,15
88,1,-407,1,1,15
54,3,472,1,1,15
87,4,442,1,1,15
79,3,466,1,1,15
77,2,-446,1,1,15
93,1,420,1,1,15
33,2,-499,1,1,15
18,2,-499,0,1,15
55,4,-410,0,1,15
95,1,-447,0,1,15
80,3,-454,0,1,15
67,4,461,0,1,15
27,2,-440,0,1,15
51,4,490,0,1,15
8,5,-433,0,1,15
43,3,481,0,1,15
25,4,434,0,1,15
97,0,-411,0,1,15
18,5,433,0,1,15
88,0,422,0,1,15
16,0,496,0,1,15
78,2,432,0,1,15
85,0,-400,0,1,15
99,0,-498,0,1,15
81,0,-492,0,1,15
20,1,-412,0,1,15
51,3,436,0,1,15
57,3,450,0,1,15
60,1,-463,0,1,15
87,0,-416,0,1,15
32,4,458,0,1,15
17,0,-405,0,1,15
23,4,427,0,1,15
78,2,404,0,1,15
76,2,-436,0,1,15
1,0,-497,0,1,15
30,1,-423,0,1,15
39,5,450,0,1,15
42,2,-450,0,1,15
25,4,485,0,1,15
98,0,-477,0,1,15
27,1,-418,0,1,15
10,0,-440,0,1,15
57,3,-446,0,1,15
30,5,449,0,1,15
38,5,499,0,1,15
2,0,-475,0,1,15
59,5,-413,1,1,32
18,4,-443,1,1,32
46,1,-417,1,1,32
8,1,-442,1,1,32
69,6,425,1,1,32
6,2,472,1,1,32
28,3,-468,1,1,32
92,6,450,1,1,32
39,4,426,1,1,32
1,6,-446,1,1,32
98,6,473,1,1,32
29,2,410,1,1,32
72,5,-450,1,1,32
94,6,-403,1,1,32
5,0,450,1,1,32
65,4,493,1,1,32
35,4,401,1,1,32
48,5,-422,1,1,32
39,5,-414,1,1,32
78,5,-470,1,1,32
10,1,-463,1,1,32
66,6,479,1,1,32
58,5,482,1,1,32
70,6,440,1,1,32
87,6,-486,1,1,32
7,0,470,1,1,32
47,5,-411,1,1,32
80,6,435,1,1,32
20,3,-433,1,1,32
9,1,-494,1,1,32
23,4,-435,1,1,32
41,4,408,1,1,32
66,5,411,1,1,32
9,2,-500,1,1,32
30,4,462,1,1,32
94,6,419,1,1,32
10,2,-403,1,1,32
17,3,405,1,1,32
78,6,-411,1,1,32
15,3,412,1,1,32
91,0,-475,0,1,32
40,4,-409,0,1,32
26,1,-470,0,1,32
40,0,476,0,1,32
16,0,446,0,1,32
63,5,443,0,1,32
62,1,408,0,1,32
76,6,472,0,1,32
57,3,447,0,1,32
92,6,455,0,1,32
66,5,440,0,1,32
22,0,-430,0,1,32
88,5,476,0,1,32
70,0,429,0,1,32
75,2,-428,0,1,32
97,6,419,0,1,32
99,1,403,0,1,32
67,1,-474,0,1,32
44,1,-453,0,1,32
1,0,466,0,1,32
14,1,462,0,1,32
37,4,418,0,1,32
68,3,-436,0,1,32
31,2,449,0,1,32
85,6,460,0,1,32
36,2,407,0,1,32
1,0,448,0,1,32
36,4,-401,0,1,32
15,1,411,0,1,32
83,1,462,0,1,32
92,5,-471,0,1,32
45,0,-500,0,1,32
1,0,-493,0,1,32
46,3,450,0,1,32
87,0,-457,0,1,32
52,2,407,0,1,32
17,1,458,0,1,32
52,2,461,0,1,32
38,3,423,0,1,32
72,6,474,0,1,32
87,0,-490,1,1,33
10,6,-482,1,1,33
5,0,471,1,1,33
