n_trial,uncertainty,share,Predicted_MC_1up,mc_model,Instr,ID,Predicted_MC,Old1
47,44,1,1,446,0,4,446,1
48,52,1,1,437,0,4,437,1
1,46,6,1,479,1,5,479,1
2,4,6,0,-484,1,5,-484,1
3,98,6,1,489,1,5,483,1
4,54,6,1,430,1,5,430,1
5,29,6,1,482,1,5,482,1
7,46,6,0,485,1,5,-500,1
8,67,6,0,-482,1,5,-411,1
9,63,6,1,468,1,5,468,1
11,71,6,0,447,1,5,-404,1
12,66,6,1,-451,1,5,465,1
13,35,6,0,-451,1,5,-451,1
14,33,6,0,-457,1,5,-457,1
15,66,6,0,424,1,5,-447,1
17,42,6,0,-406,1,5,-401,1
18,99,6,0,-452,1,5,-468,1
19,88,6,1,477,1,5,437,1
20,30,6,0,-401,1,5,-401,1
21,1,6,0,-420,1,5,-420,1
22,80,6,0,-412,1,5,-400,1
24,75,6,0,416,1,5,-429,1
25,83,6,0,-402,1,5,-418,1
27,2,6,1,496,1,5,496,1
28,86,6,1,-493,1,5,427,1
29,16,6,1,401,1,5,401,1
30,12,6,1,408,1,5,408,1
32,25,6,0,-484,1,5,-484,1
33,52,6,0,-441,1,5,-410,1
34,47,6,1,463,1,5,463,1
35,46,6,0,474,1,5,-426,1
36,28,6,0,-405,1,5,-405,1
37,11,6,0,-448,1,5,-448,1
38,86,6,1,-438,1,5,446,1
40,45,6,1,-487,1,5,488,1
41,55,6,1,447,1,5,406,1
42,10,6,1,467,1,5,467,1
43,97,6,1,500,1,5,415,1
44,10,6,0,-462,1,5,-462,1
46,89,6,0,-426,1,5,-415,1
47,16,6,1,-424,1,5,406,1
48,79,6,0,-461,1,5,-474,1
1,11,1,0,-454,1,5,-454,0
2,33,4,1,440,1,5,440,0
3,67,5,0,-459,1,5,-452,0
4,3,0,1,475,1,5,475,0
5,99,6,1,473,1,5,480,0
7,88,3,1,445,1,5,445,0
8,54,4,0,-496,1,5,-418,0
9,13,2,1,489,1,5,489,0
11,54,2,1,412,1,5,462,0
12,94,6,0,-438,1,5,-499,0
13,3,0,1,426,1,5,426,0
14,69,1,1,-488,1,5,468,0
15,44,6,0,404,1,5,-445,0
17,42,1,1,500,1,5,500,0
18,46,4,0,-430,1,5,-430,0
19,84,5,1,459,1,5,459,0
20,5,0,0,-436,1,5,-436,0
21,80,6,1,-495,1,5,481,0
22,33,4,0,-419,1,5,-419,0
24,25,6,0,409,1,5,-473,0
25,7,0,0,-412,1,5,-412,0
27,74,5,1,495,1,5,495,0
28,83,5,1,411,1,5,423,0
29,41,3,0,-431,1,5,-431,0
30,45,0,0,-489,1,5,-489,0
32,11,0,0,-447,1,5,-447,0
33,9,0,0,-465,1,5,-465,0
34,17,1,0,-413,1,5,-413,0
35,61,2,1,417,1,5,468,0
36,73,6,0,-466,1,5,-441,0
