n_trial,uncertainty,share,Predicted_MC_1up,mc_model,Instr
28,79,5,0,-497,0
29,12,3,1,412,0
30,59,5,1,-448,0
32,47,4,0,-465,0
33,57,3,1,493,0
34,1,3,0,-464,0
35,18,3,1,420,0
36,83,4,0,-400,0
37,91,4,1,475,0
38,65,4,1,482,0
40,98,5,1,453,0
41,17,5,0,-487,0
42,55,5,0,471,0
43,36,3,1,438,0
44,45,4,0,-411,0
46,79,4,0,-454,0
47,26,3,0,-465,0
48,36,3,0,-442,0
1,92,3,0,-441,1
2,44,4,1,432,1
3,7,6,1,456,1
4,38,5,1,433,1
5,88,4,1,461,1
7,36,5,1,498,1
8,84,4,1,414,1
9,25,6,1,485,1
11,81,3,1,417,1
12,68,6,0,-490,1
13,7,6,0,-495,1
14,71,5,0,-444,1
15,58,6,0,-459,1
17,12,6,1,413,1
18,29,6,0,-482,1
19,97,0,0,488,1
20,63,0,1,-450,1
21,62,0,0,405,1
22,71,5,0,-470,1
24,18,6,0,-451,1
25,87,0,0,466,1
27,78,0,1,-483,1
28,47,0,0,490,1
29,47,5,1,439,1
30,16,6,0,-433,1
32,95,0,1,-435,1
33,90,4,0,-452,1
34,31,0,1,-497,1
35,99,0,1,-490,1
36,84,0,0,443,1
37,27,6,1,417,1
38,32,6,1,464,1
40,42,6,1,406,1
41,35,6,1,500,1
42,39,6,1,472,1
43,67,6,0,-486,1
44,32,6,1,400,1
46,45,0,1,-479,1
47,39,6,0,-407,1
48,44,6,1,409,1
1,11,5,1,465,0
2,8,5,1,454,0
3,63,5,0,-459,0
4,62,1,1,-462,0
5,87,0,0,462,0
7,75,5,1,405,0
8,76,4,1,482,0
9,9,6,0,-412,0
11,60,5,0,-474,0
12,82,1,0,417,0
13,79,0,0,435,0
14,9,2,1,499,0
15,38,5,1,468,0
17,99,4,0,-499,0
18,70,3,1,437,0
19,33,6,1,420,0
20,62,5,1,490,0
21,21,6,1,421,0
22,61,6,0,-407,0
24,16,6,0,-470,0
25,81,0,1,-487,0
27,33,6,1,426,0
28,55,6,1,430,0
29,22,6,0,-460,0
30,88,0,0,426,0
32,45,6,1,403,0
33,83,6,0,-480,0
34,37,0,0,479,0
35,95,0,0,476,0
36,54,4,1,460,0
37,88,0,0,498,0
38,4,6,1,468,0
40,45,0,0,486,0
41,62,0,1,-423,0
42,92,5,0,-412,0
43,27,4,1,412,0
44,83,0,0,463,0
46,3,6,1,403,0
47,53,4,1,422,0
48,2,6,0,-430,0
1,27,6,0,440,1
2,89,6,0,-481,1
3,29,4,1,460,1
4,84,6,0,472,1
5,9,1,1,486,1
7,79,4,1,484,1
8,37,6,0,417,1
9,82,6,1,400,1
11,14,2,0,-446,1
12,37,4,1,486,1
13,74,5,0,-455,1
14,83,5,0,-492,1
15,93,6,0,-433,1
