n_trial,uncertainty,seek,mc_model,Instr
29,33,4,459,0
30,4,1,420,0
32,29,3,-471,0
33,28,4,-448,0
34,37,4,-417,0
35,59,5,-434,0
36,75,6,-454,0
37,78,6,-500,0
38,81,5,-408,0
40,47,4,466,0
41,81,6,414,0
42,75,5,434,0
43,5,1,444,0
44,72,5,-460,0
46,36,4,-448,0
47,53,4,492,0
48,14,2,-462,0
1,84,6,412,0
2,64,6,449,0
3,86,5,-497,0
4,39,4,-461,0
5,54,5,-417,0
7,41,6,416,0
8,56,5,400,0
9,61,6,426,0
11,63,5,433,0
12,79,6,485,0
13,77,5,483,0
14,61,3,421,0
15,89,6,-401,0
17,75,5,431,0
18,16,5,439,0
19,25,6,-455,0
20,53,5,473,0
21,59,5,-468,0
22,89,6,404,0
24,16,5,-434,0
25,91,6,500,0
27,33,5,455,0
28,96,6,490,0
29,64,5,470,0
30,49,5,-496,0
32,20,5,488,0
33,22,5,-429,0
34,50,5,-423,0
35,77,5,-411,0
36,17,6,-458,0
37,4,5,-416,0
38,89,6,-405,0
40,98,6,452,0
41,34,6,-404,0
42,13,6,-471,0
43,22,6,-457,0
44,17,6,453,0
46,87,6,-472,0
47,75,6,-447,0
48,9,6,427,0
1,89,3,-473,1
2,16,6,-436,1
3,44,3,-466,1
4,1,6,465,1
5,82,6,429,1
7,15,5,417,1
8,29,6,-409,1
9,70,5,-494,1
11,2,6,499,1
12,40,3,-491,1
13,62,6,-453,1
14,98,6,433,1
15,79,4,-492,1
17,71,3,-417,1
18,49,4,-489,1
19,11,5,-430,1
20,94,5,-428,1
21,48,5,455,1
22,4,5,407,1
24,38,6,444,1
25,60,4,492,1
27,72,4,-435,1
28,32,4,-447,1
29,2,6,432,1
30,87,5,-465,1
32,47,6,446,1
33,80,4,451,1
34,76,5,447,1
35,38,6,-451,1
36,58,1,-464,1
37,84,4,-425,1
38,93,6,435,1
40,4,6,484,1
41,38,6,-481,1
42,84,5,-445,1
43,88,6,-435,1
44,29,6,406,1
46,30,6,462,1
47,94,5,-482,1
48,1,6,-496,1
1,15,0,-453,1
2,44,0,485,1
