n_trial,uncertainty,seek,Market_change_1up,mc_model,Instr,Task1Seek,check,ID
25,70,6,0,-440,1,1,4,5cae3d6b6f6415001d3ac9a6
27,52,6,0,-406,1,1,4,5cae3d6b6f6415001d3ac9a6
28,8,6,1,471,1,1,4,5cae3d6b6f6415001d3ac9a6
29,19,6,0,-456,1,1,4,5cae3d6b6f6415001d3ac9a6
30,94,6,1,404,1,1,4,5cae3d6b6f6415001d3ac9a6
32,82,6,0,-481,1,1,4,5cae3d6b6f6415001d3ac9a6
33,68,6,1,447,1,1,4,5cae3d6b6f6415001d3ac9a6
34,81,6,1,489,1,1,4,5cae3d6b6f6415001d3ac9a6
35,92,6,1,480,1,1,4,5cae3d6b6f6415001d3ac9a6
36,2,6,0,-410,1,1,4,5cae3d6b6f6415001d3ac9a6
37,52,6,0,-413,1,1,4,5cae3d6b6f6415001d3ac9a6
38,12,6,1,443,1,1,4,5cae3d6b6f6415001d3ac9a6
40,87,6,1,437,1,1,4,5cae3d6b6f6415001d3ac9a6
41,56,6,1,424,1,1,4,5cae3d6b6f6415001d3ac9a6
42,53,6,0,-446,1,1,4,5cae3d6b6f6415001d3ac9a6
43,30,6,1,438,1,1,4,5cae3d6b6f6415001d3ac9a6
44,3,6,0,-449,1,1,4,5cae3d6b6f6415001d3ac9a6
46,30,6,0,-405,1,1,4,5cae3d6b6f6415001d3ac9a6
47,56,6,1,472,1,1,4,5cae3d6b6f6415001d3ac9a6
48,25,6,1,402,1,1,4,5cae3d6b6f6415001d3ac9a6
1,8,0,0,-492,0,1,4,5cd6d5a4efab0c0001d08922
2,89,5,1,491,0,1,4,5cd6d5a4efab0c0001d08922
3,91,6,1,440,0,1,4,5cd6d5a4efab0c0001d08922
4,24,0,1,424,0,1,4,5cd6d5a4efab0c0001d08922
5,42,0,0,-415,0,1,4,5cd6d5a4efab0c0001d08922
7,26,0,1,458,0,1,4,5cd6d5a4efab0c0001d08922
8,98,6,0,-436,0,1,4,5cd6d5a4efab0c0001d08922
9,50,0,1,496,0,1,4,5cd6d5a4efab0c0001d08922
11,24,0,0,-426,0,1,4,5cd6d5a4efab0c0001d08922
12,64,0,1,454,0,1,4,5cd6d5a4efab0c0001d08922
13,62,0,0,-431,0,1,4,5cd6d5a4efab0c0001d08922
14,54,6,1,405,0,1,4,5cd6d5a4efab0c0001d08922
